List of Square Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Length: 0
Number of Blockers | Ratio


Side Length: 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.0


Side Length: 4
Number of Blockers | Ratio
1 | 1.3333333333333333
2 | 1.8095238095238095
3 | 1.5064935064935066
4 | 2.1944444444444446
5 | 1.509700176366843
6 | 1.8915318744053282
7 | 1.4962457337883959
8 | 2.0704898446833933


Side Length: 6
Number of Blockers | Ratio
1 | 1.5
2 | 2.129032258064516
3 | 1.5880434782608697
4 | 2.2137435077906513
5 | 1.5123527175978715
6 | 1.823003634220607
7 | 1.45598598627344
8 | 1.8290437447704049
9 | 1.4195417413116622
10 | 1.6526780688199145
11 | 1.395613302223803
12 | 1.6905661227403823
13 | 1.3800603358005399
14 | 1.5850891598152765
15 | 1.3706354541687737
16 | 1.639804028460474
17 | 1.3661750865963498
18 | 1.5662648993344337


Side Length: 8
Number of Blockers | Ratio
1 | 1.6
2 | 2.273381294964029
3 | 1.6097006441834028
4 | 2.196146146146146
5 | 1.5049348896383037
6 | 1.7876377561977892
7 | 1.4388387801843787
8 | 1.7627488833530993
9 | 1.3958129915476132
10 | 1.5927410503331467
11 | 1.3657000532172057
12 | 1.5997302943216007
13 | 1.3435408294118951
14 | 1.5013253607071078
15 | 1.326694176336023
16 | 1.5172956507378799
17 | 1.3136289709473816
18 | 1.4501969685615899
19 | 1.3033963424047235
20 | 1.4701618308068694
21 | 1.2953791078597299
22 | 1.419826772807773
23 | 1.289162307843735
24 | 1.4425825578674347
25 | 1.2844618341109277
26 | 1.402373912171838
27 | 1.2810830915262972
28 | 1.4279235983656187
29 | 1.2788963356519198
30 | 1.3943432280155625
31 | 1.27782191917168
32 | 1.4233104516164277


Side Length: 10
Number of Blockers | Ratio
1 | 1.6666666666666667
2 | 2.3484848484848486
3 | 1.6175386882829772
4 | 2.1840056977158264
5 | 1.5006253964490908
6 | 1.7714676812206855
7 | 1.431323659373871
8 | 1.736021132177613
9 | 1.3861799892404973
10 | 1.5695923516431467
11 | 1.3541432730213299
12 | 1.5670448044213021
13 | 1.330079572011103
14 | 1.4722766366342042
15 | 1.3112870581704719
16 | 1.4782882740576393
17 | 1.296197191244663
18 | 1.414781632944731
19 | 1.2838303908965207
20 | 1.4238658635491563
21 | 1.2735401179877508
22 | 1.3771152405436384
23 | 1.2648808920910535
24 | 1.3875859471551821
25 | 1.2575351055378803
26 | 1.3509879089934984
27 | 1.2512700177684488
28 | 1.3622550388921895
29 | 1.2459112625169204
30 | 1.3323272943638953
31 | 1.2413258777203504
32 | 1.344196447572613
33 | 1.237411075390096
34 | 1.3189077144581203
35 | 1.2340866050062744
36 | 1.3313549639155648
37 | 1.231289442583727
38 | 1.3094293441818852
39 | 1.228970030456823
40 | 1.3225197459780245
41 | 1.2270895801838557
42 | 1.3031088757179403
43 | 1.2256181243575703
44 | 1.3169671299288133
45 | 1.2245331111245383
46 | 1.2994808513904499
47 | 1.223818404661869
48 | 1.3142848034834702
49 | 1.2234636010557323
50 | 1.2982974684509216


Side Length: 12
Number of Blockers | Ratio
1 | 1.7142857142857142
2 | 2.3919821826280625
